accuracy,loss,val_accuracy,val_loss,learning_rate,epoch,model,stage,elapsed_seconds_stage
0.36794066429138184,1.6984442472457886,0.3209393322467804,1.6746121644973755,9.999999747378752e-05,1,Custom_CNN,main,6273.883712053299
0.4115394055843353,1.581017255783081,0.44748857617378235,1.4998984336853027,9.999999747378752e-05,2,Custom_CNN,main,6273.883712053299
0.42588216066360474,1.5492295026779175,0.4383561611175537,1.4884122610092163,9.999999747378752e-05,3,Custom_CNN,main,6273.883712053299
0.4320756196975708,1.5247658491134644,0.4455316364765167,1.4583520889282227,9.999999747378752e-05,4,Custom_CNN,main,6273.883712053299
0.44389209151268005,1.5017788410186768,0.45270711183547974,1.4435575008392334,9.999999747378752e-05,5,Custom_CNN,main,6273.883712053299
0.4464183747768402,1.4885430335998535,0.46510112285614014,1.4402215480804443,9.999999747378752e-05,6,Custom_CNN,main,6273.883712053299
0.45155245065689087,1.4741132259368896,0.46771037578582764,1.418308138847351,9.999999747378752e-05,7,Custom_CNN,main,6273.883712053299
0.4532637894153595,1.4643546342849731,0.47031962871551514,1.4071382284164429,9.999999747378752e-05,8,Custom_CNN,main,6273.883712053299
0.4634504020214081,1.446960687637329,0.4716242551803589,1.3943920135498047,9.999999747378752e-05,9,Custom_CNN,main,6273.883712053299
0.46964386105537415,1.4344927072525024,0.4859752058982849,1.370983600616455,9.999999747378752e-05,10,Custom_CNN,main,6273.883712053299
0.4760003387928009,1.415258526802063,0.4885844886302948,1.366037130355835,9.999999747378752e-05,11,Custom_CNN,main,6273.883712053299
0.48398664593696594,1.4018455743789673,0.5029354095458984,1.3671159744262695,9.999999747378752e-05,12,Custom_CNN,main,6273.883712053299
0.49026158452033997,1.3807454109191895,0.5003261566162109,1.3298192024230957,9.999999747378752e-05,13,Custom_CNN,main,6273.883712053299
0.5034634470939636,1.3646529912948608,0.49706459045410156,1.3185186386108398,9.999999747378752e-05,14,Custom_CNN,main,6273.883712053299
0.5099014043807983,1.341010570526123,0.519895613193512,1.27195405960083,9.999999747378752e-05,15,Custom_CNN,main,6273.883712053299
0.524570107460022,1.3048895597457886,0.5231571793556213,1.2975826263427734,9.999999747378752e-05,16,Custom_CNN,main,6273.883712053299
